Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler	bwpId
1.50446	UL	150	4	0	0	13	1	1	129	27	0	53.4019	0	0	0
1.50446	UL	150	4	0	0	13	1	1	129	27	0	53.4019	0	0	0
1.508	DL	150	7	1	1	13	1	1	129	27	0	60.4019	0	0	0
1.51396	UL	151	3	1	0	13	1	1	129	27	0	53.4019	0	0	0
1.51396	UL	151	3	1	0	13	1	1	129	27	0	53.4019	0	0	0
1.51696	UL	151	6	1	0	13	1	1	14852	27	0	30.0251	0	0	0
1.51696	UL	151	6	1	0	13	1	1	14852	27	0	30.0251	0	0	0
1.5205	DL	152	0	0	1	13	1	1	661	27	0	51.7991	0	0	0
1.52646	UL	152	6	0	0	13	1	1	129	27	0	53.4019	0	0	0
1.52646	UL	152	6	0	0	13	1	1	129	27	0	53.4019	0	0	0
1.52946	UL	152	9	0	0	13	1	1	35276	27	0	29.5135	1	1	0
1.52946	UL	152	9	0	0	13	1	1	35276	27	0	29.5135	1	1	0
1.52996	UL	152	9	1	0	13	1	1	4642	27	0	36.0903	0	0	0
1.53196	UL	153	1	1	0	13	1	1	35276	27	1	29.5135	0	0	0
1.53196	UL	153	1	1	0	13	1	1	35276	27	1	29.5135	0	0	0
1.5355	DL	153	5	0	1	13	1	1	1326	27	0	48.9719	0	0	0
1.54146	UL	154	1	0	0	13	1	1	119	25	0	53.4019	0	0	0
1.54146	UL	154	1	0	0	13	1	1	119	25	0	53.4019	0	0	0
1.54446	UL	154	4	0	0	13	1	1	35276	27	0	29.5135	1	1	0
1.54446	UL	154	4	0	0	13	1	1	35276	27	0	29.5135	1	1	0
1.54496	UL	154	4	1	0	13	1	1	35276	27	0	29.5135	1	1	0
1.54496	UL	154	4	1	0	13	1	1	35276	27	0	29.5135	1	1	0
1.54596	UL	154	5	1	1	12	1	1	6733	27	0	33.6314	0	0	0
1.54596	UL	154	5	1	1	12	1	1	6733	27	0	33.6314	0	0	0
1.54696	UL	154	6	1	0	13	1	1	35276	27	1	29.5135	0	0	0
1.54696	UL	154	6	1	0	13	1	1	35276	27	1	29.5135	0	0	0
1.548	DL	154	7	1	1	13	1	1	262	27	0	55.886	0	0	0
1.54896	UL	154	8	1	0	13	1	1	35276	27	1	29.5135	0	0	0
1.54896	UL	154	8	1	0	13	1	1	35276	27	1	29.5135	0	0	0
1.54946	UL	154	9	0	0	13	1	1	32622	25	0	29.5135	0	0	0
1.54996	UL	154	9	1	0	13	1	1	22934	25	0	29.9973	0	0	0
1.5505	DL	155	0	0	1	13	1	1	1592	27	0	48.1348	0	0	0
1.55093	DL	155	0	1	1	11	1	1	784	27	0	50.5173	0	0	0
1.55396	UL	155	3	1	0	13	1	1	125	26	0	53.4019	0	0	0
1.55396	UL	155	3	1	0	13	1	1	125	26	0	53.4019	0	0	0
1.55696	UL	155	6	1	0	13	1	1	35276	27	0	29.5135	1	1	0
1.55696	UL	155	6	1	0	13	1	1	35276	27	0	29.5135	1	1	0
1.55746	UL	155	7	0	0	13	1	1	35276	27	0	29.5135	1	1	0
1.55746	UL	155	7	0	0	13	1	1	35276	27	0	29.5135	1	1	0
1.55846	UL	155	8	0	1	12	1	1	32564	27	0	29.5135	1	1	0
1.55846	UL	155	8	0	1	12	1	1	32564	27	0	29.5135	1	1	0
1.55896	UL	155	8	1	0	13	1	1	35276	27	0	29.5135	1	1	0
1.55896	UL	155	8	1	0	13	1	1	35276	27	0	29.5135	1	1	0
1.55946	UL	155	9	0	0	13	1	1	35276	27	1	29.5135	0	0	0
1.55946	UL	155	9	0	0	13	1	1	35276	27	1	29.5135	0	0	0
1.55996	UL	155	9	1	0	13	1	1	11650	25	0	30.6335	0	0	0
1.56146	UL	156	1	0	0	13	1	1	35276	27	1	29.5135	0	0	0
1.56146	UL	156	1	0	0	13	1	1	35276	27	1	29.5135	0	0	0
1.563	DL	156	2	1	1	13	1	1	1592	27	0	48.1348	0	0	0
1.56896	UL	156	8	1	0	13	1	1	119	25	0	53.4019	0	0	0
1.56896	UL	156	8	1	0	13	1	1	119	25	0	53.4019	0	0	0
1.57196	UL	157	1	1	0	13	1	1	35276	27	0	29.5135	1	1	0
1.57196	UL	157	1	1	0	13	1	1	35276	27	0	29.5135	1	1	0
1.57246	UL	157	2	0	0	13	1	1	35276	27	0	29.5135	1	1	0
1.57246	UL	157	2	0	0	13	1	1	35276	27	0	29.5135	1	1	0
1.57346	UL	157	3	0	1	12	1	1	6733	27	0	33.6314	0	0	0
1.57346	UL	157	3	0	1	12	1	1	6733	27	0	33.6314	0	0	0
1.57446	UL	157	4	0	0	13	1	1	35276	27	1	29.5135	0	0	0
1.57446	UL	157	4	0	0	13	1	1	35276	27	1	29.5135	0	0	0
1.57646	UL	157	6	0	0	13	1	1	35276	27	1	29.5135	0	0	0
1.57646	UL	157	6	0	0	13	1	1	35276	27	1	29.5135	0	0	0
1.57696	UL	157	6	1	0	13	1	1	32622	25	0	29.5135	0	0	0
1.57746	UL	157	7	0	0	13	1	1	32622	25	0	29.5135	0	0	0
1.57846	UL	157	8	0	1	12	1	1	12113	25	0	30.1615	0	0	0
1.59646	UL	159	6	0	0	13	1	1	129	27	0	53.4019	0	0	0
1.59646	UL	159	6	0	0	13	1	1	129	27	0	53.4019	0	0	0
1.59946	UL	159	9	0	0	13	1	1	1459	27	0	41.4587	0	0	0
1.59946	UL	159	9	0	0	13	1	1	1459	27	0	41.4587	0	0	0
1.61396	UL	161	3	1	0	13	1	1	129	27	0	53.4019	0	0	0
1.61396	UL	161	3	1	0	13	1	1	129	27	0	53.4019	0	0	0
1.66346	DL	166	3	0	1	12	1	1	1715	27	0	47.6175	0	0	0
1.66896	UL	166	8	1	0	13	1	1	129	27	0	53.4019	0	0	0
1.66896	UL	166	8	1	0	13	1	1	129	27	0	53.4019	0	0	0
1.67196	UL	167	1	1	0	13	1	1	20556	27	0	29.7896	0	0.434501	0
1.67196	UL	167	1	1	0	13	1	1	20556	27	0	29.7896	0	0.434501	0
1.76346	DL	176	3	0	1	12	1	1	4898	27	0	42.2976	0	0	0
1.76896	UL	176	8	1	0	13	1	1	129	27	0	53.4019	0	0	0
1.76896	UL	176	8	1	0	13	1	1	129	27	0	53.4019	0	0	0
1.77196	UL	177	1	1	0	13	1	1	35276	27	0	29.5135	1	1	0
1.77196	UL	177	1	1	0	13	1	1	35276	27	0	29.5135	1	1	0
1.77246	UL	177	2	0	0	13	1	1	35276	27	0	29.5135	1	1	0
1.77246	UL	177	2	0	0	13	1	1	35276	27	0	29.5135	1	1	0
1.77346	UL	177	3	0	1	12	1	1	6733	27	0	33.6314	0	0	0
1.77346	UL	177	3	0	1	12	1	1	6733	27	0	33.6314	0	0	0
1.77446	UL	177	4	0	0	13	1	1	35276	27	1	29.5135	0	0	0
1.77446	UL	177	4	0	0	13	1	1	35276	27	1	29.5135	0	0	0
1.77646	UL	177	6	0	0	13	1	1	35276	27	1	29.5135	0	0	0
1.77646	UL	177	6	0	0	13	1	1	35276	27	1	29.5135	0	0	0
1.77696	UL	177	6	1	0	13	1	1	32622	25	0	29.5135	0	0	0
1.77746	UL	177	7	0	0	13	1	1	7237	25	0	33.1817	0	0	0
1.77846	DL	177	8	0	1	12	1	1	3673	27	0	43.8566	0	0	0
1.78396	UL	178	3	1	0	13	1	1	129	27	0	53.4019	0	0	0
1.78396	UL	178	3	1	0	13	1	1	129	27	0	53.4019	0	0	0
1.78696	UL	178	6	1	0	13	1	1	35276	27	0	29.5135	1	1	0
1.78696	UL	178	6	1	0	13	1	1	35276	27	0	29.5135	1	1	0
1.78746	UL	178	7	0	0	13	1	1	35276	27	0	29.5135	1	1	0
1.78746	UL	178	7	0	0	13	1	1	35276	27	0	29.5135	1	1	0
1.78846	UL	178	8	0	1	12	1	1	32564	27	0	29.5135	1	1	0
1.78846	UL	178	8	0	1	12	1	1	32564	27	0	29.5135	1	1	0
1.78896	UL	178	8	1	0	13	1	1	4642	27	0	36.0903	0	0	0
1.78946	UL	178	9	0	0	13	1	1	35276	27	1	29.5135	0	0	0
1.78946	UL	178	9	0	0	13	1	1	35276	27	1	29.5135	0	0	0
1.79146	UL	179	1	0	0	13	1	1	35276	27	1	29.5135	0	0	0
1.79146	UL	179	1	0	0	13	1	1	35276	27	1	29.5135	0	0	0
1.793	DL	179	2	1	1	13	1	1	1592	27	0	48.1348	0	0	0
1.79896	UL	179	8	1	0	13	1	1	119	25	0	53.4019	0	0	0
1.79896	UL	179	8	1	0	13	1	1	119	25	0	53.4019	0	0	0
1.80196	UL	180	1	1	0	13	1	1	35276	27	0	29.5135	1	1	0
1.80196	UL	180	1	1	0	13	1	1	35276	27	0	29.5135	1	1	0
1.80246	UL	180	2	0	0	13	1	1	4642	27	0	36.0903	0	0	0
1.80446	UL	180	4	0	0	13	1	1	35276	27	1	29.5135	0	0	0
