Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
1.50754	DL DCI Rxed	150	7	1	2	1	0	19	2
1.50896	HARQ FD Txed	150	8	1	2	1	0	19	2
1.52004	DL DCI Rxed	152	0	0	2	1	0	19	2
1.52146	HARQ FD Txed	152	1	0	2	1	0	19	2
1.53504	DL DCI Rxed	153	5	0	2	1	0	19	2
1.53646	HARQ FD Txed	153	6	0	2	1	0	19	2
1.54754	DL DCI Rxed	154	7	1	2	1	0	19	2
1.54896	HARQ FD Txed	154	8	1	2	1	0	19	2
1.55004	DL DCI Rxed	155	0	0	2	1	0	19	2
1.55054	DL DCI Rxed	155	0	1	2	1	0	18	2
1.55146	HARQ FD Txed	155	1	0	2	1	0	19	2
1.55196	HARQ FD Txed	155	1	1	2	1	0	18	2
1.56254	DL DCI Rxed	156	2	1	2	1	0	19	2
1.56396	HARQ FD Txed	156	3	1	2	1	0	19	2
1.66304	DL DCI Rxed	166	3	0	2	1	0	19	2
1.66446	HARQ FD Txed	166	4	0	2	1	0	19	2
1.76304	DL DCI Rxed	176	3	0	2	1	0	19	2
1.76446	HARQ FD Txed	176	4	0	2	1	0	19	2
1.77804	DL DCI Rxed	177	8	0	2	1	0	19	2
1.77946	HARQ FD Txed	177	9	0	2	1	0	19	2
1.79254	DL DCI Rxed	179	2	1	2	1	0	19	2
1.79396	HARQ FD Txed	179	3	1	2	1	0	19	2
1.89304	DL DCI Rxed	189	3	0	2	1	0	19	2
1.89446	HARQ FD Txed	189	4	0	2	1	0	19	2
1.90504	DL DCI Rxed	190	5	0	2	1	0	19	2
1.90646	HARQ FD Txed	190	6	0	2	1	0	19	2
1.90754	DL DCI Rxed	190	7	1	2	1	0	19	2
1.90896	HARQ FD Txed	190	8	1	2	1	0	19	2
1.91504	DL DCI Rxed	191	5	0	2	1	0	19	2
1.91646	HARQ FD Txed	191	6	0	2	1	0	19	2
1.91754	DL DCI Rxed	191	7	1	2	1	0	19	2
1.91896	HARQ FD Txed	191	8	1	2	1	0	19	2
1.92004	DL DCI Rxed	192	0	0	2	1	0	19	2
1.92054	DL DCI Rxed	192	0	1	2	1	0	18	2
1.92146	HARQ FD Txed	192	1	0	2	1	0	19	2
1.92196	HARQ FD Txed	192	1	1	2	1	0	18	2
