link,clients,load,offered_total,gross_mbps,net_mbps,delay_ms,loss_pct,active_flows,min_flow,max_flow,eff,spread,rc,wall
nr,1,100.0,100.0,99.94173913043478,98.514,2.219,0.0,1,98.514,98.514,0.9994173913043478,1.0,0,2.4518203439947683
nr,1,200.0,200.0,199.9240579710145,197.068,2.46,0.0,1,197.068,197.068,0.9996202898550725,1.0,0,3.692083998997987
nr,1,300.0,300.0,299.8891304347826,295.605,2.477,0.0,1,295.605,295.605,0.9996304347826087,1.0,0,5.086620161004248
nr,1,400.0,400.0,394.8202898550725,389.18,41.512,0.0,1,389.18,389.18,0.9870507246376812,1.0,0,7.094477328006178
nr,1,500.0,500.0,394.82434782608703,389.184,633.694,0.0,1,389.184,389.184,0.7896486956521741,1.0,0,36.281006062003144
nr,1,600.0,600.0,394.82434782608703,389.184,1028.485,0.0,1,389.184,389.184,0.6580405797101451,1.0,0,75.58839735600486
nr,4,50.0,200.0,199.4127536231884,196.564,2.389,0.0,4,49.018,49.266,0.997063768115942,1.005059365947203,0,8.83465165400412
nr,4,75.0,300.0,299.1242028985507,294.851,2.489,0.0,4,73.525,73.898,0.9970806763285024,1.005073104386263,0,11.304336834000424
nr,4,100.0,400.0,396.87565217391307,391.206,17.727,0.0,4,97.634,98.037,0.9921891304347826,1.0041276604461562,0,12.862211809006112
nr,4,125.0,500.0,397.1515942028986,391.478,609.047,0.0,4,97.128,99.566,0.7943031884057972,1.025100897784367,0,23.191212959995028
nr,4,150.0,600.0,397.30478260869563,391.629,1004.342,0.0,4,97.112,99.566,0.6621746376811594,1.025269791580855,0,40.84198485100205
nr,4,200.0,800.0,397.5086956521739,391.83,1498.748,0.0,4,97.108,99.566,0.4968858695652174,1.0253120237261606,0,82.30256169800123
nr,8,25.0,200.0,198.72695652173914,195.888,2.519,0.0,8,24.34,24.63,0.9936347826086958,1.0119145439605588,0,20.39915880800254
nr,8,40.0,320.0,317.9846376811594,313.442,2.582,0.0,8,38.949,39.409,0.9937019927536233,1.0118103160543275,0,25.121682775999943
nr,8,50.0,400.0,393.1960869565217,387.579,34.337,0.0,8,47.277,49.264,0.9829902173913042,1.0420288935423145,0,24.76089310300449
