link,clients,load,offered_total,gross_mbps,net_mbps,delay_ms,loss_pct,active_flows,min_flow,max_flow,rc,wall,error
wifi,1,1800,1800,1797.587,1771.907,1.033,0.122,1,1797.587,1797.587,0,12.650484989004326,
wifi,1,2000,2000,1923.578,1896.098,52.675,2.837,1,1923.578,1923.578,0,14.883540597002138,
wifi,1,2500,2500,1923.189,1895.715,59.818,22.281,1,1923.189,1923.189,0,15.795650551001017,
wifi,1,3000,3000,1923.682,1896.201,60.372,35.225,1,1923.682,1923.682,0,17.351063816000533,
wifi,1,3500,3500,1923.716,1896.234,60.614,44.468,1,1923.716,1923.716,0,18.08699970699672,
wifi,1,4000,4000,1923.716,1896.234,60.755,51.41,1,1923.716,1923.716,0,18.510515997004404,
wifi,4,450,1800,1487.47,1466.221,243.838,13.55,4,328.151,400.001,0,29.456214611003816,
wifi,4,500,2000,1529.588,1507.736,255.675,19.308,4,321.757,445.865,0,30.12367701200128,
wifi,4,600,2400,1553.802,1531.605,269.297,31.289,4,336.978,425.445,0,31.258839729998726,
wifi,8,225,1800,1278.155,1259.896,512.897,20.008,8,127.029,189.997,0,55.341089636000106,
wifi,8,250,2000,1297.429,1278.894,564.142,26.745,8,130.458,195.993,0,57.60390941600053,
wifi,8,300,2400,1278.394,1260.131,613.973,38.854,8,108.959,192.795,0,58.90266133499972,
wifi,15,140,2100,1010.15,995.72,1100.268,32.447,15,29.547,88.101,0,109.99956341600046,
wifi,15,160,2400,1047.066,1032.108,1137.649,40.34,15,51.636,89.802,0,119.11711243199534,
wifi,15,200,3000,1011.091,996.647,1262.714,52.36,15,41.662,85.521,0,117.62482864599588,
wifi,30,70,2100,717.358,707.11,1455.187,22.721,30,11.568,43.058,0,229.84719726199546,
wifi,30,80,2400,712.229,702.054,1551.511,30.381,30,12.193,34.444,0,231.54990589600493,
wifi,30,100,3000,739.0,728.443,1638.269,36.438,30,14.377,41.879,0,237.57520197900158,
