link,clients,load,offered_total,gross_mbps,net_mbps,delay_ms,loss_pct,active_flows,min_flow,max_flow,rc,wall,error
nr,1,100,100,99.94173913043478,98.514,2.219,0.0,1,98.514,98.514,0,2.4518203439947683,
nr,1,200,200,199.9240579710145,197.068,2.46,0.0,1,197.068,197.068,0,3.692083998997987,
nr,1,300,300,299.8891304347826,295.605,2.477,0.0,1,295.605,295.605,0,5.086620161004248,
nr,1,400,400,394.8202898550725,389.18,41.512,0.0,1,389.18,389.18,0,7.094477328006178,
nr,1,500,500,394.82434782608703,389.184,633.694,0.0,1,389.184,389.184,0,36.281006062003144,
nr,1,600,600,394.82434782608703,389.184,1028.485,0.0,1,389.184,389.184,0,75.58839735600486,
nr,4,50,200,199.4127536231884,196.564,2.389,0.0,4,49.018,49.266,0,8.83465165400412,
nr,4,75,300,299.1242028985507,294.851,2.489,0.0,4,73.525,73.898,0,11.304336834000424,
nr,4,100,400,396.87565217391307,391.206,17.727,0.0,4,97.634,98.037,0,12.862211809006112,
nr,4,125,500,397.1515942028986,391.478,609.047,0.0,4,97.128,99.566,0,23.191212959995028,
nr,4,150,600,397.30478260869563,391.629,1004.342,0.0,4,97.112,99.566,0,40.84198485100205,
nr,4,200,800,397.5086956521739,391.83,1498.748,0.0,4,97.108,99.566,0,82.30256169800123,
nr,8,25,200,198.72695652173914,195.888,2.519,0.0,8,24.34,24.63,0,20.39915880800254,
nr,8,40,320,317.9846376811594,313.442,2.582,0.0,8,38.949,39.409,0,25.121682775999943,
nr,8,50,400,393.1960869565217,387.579,34.337,0.0,8,47.277,49.264,0,24.76089310300449,
nr,8,60,480,393.6465217391305,388.023,518.576,0.0,8,46.469,49.827,0,32.33558054300374,
nr,8,75,600,394.07565217391306,388.446,1005.658,0.0,8,46.469,49.973,0,47.1798955780032,
nr,8,100,800,394.50173913043477,388.866,1493.911,0.0,8,46.469,50.149,0,79.35809911199613,
nr,15,15,225,222.2357971014493,219.061,2.77,0.0,15,14.433,14.777,0,54.74702054000227,
nr,15,20,300,296.3444927536232,292.111,2.693,0.0,15,19.245,19.705,0,65.91585081599624,
nr,15,25,375,370.44,365.148,2.796,0.0,15,24.056,24.63,0,71.59755772000062,
nr,15,30,450,386.3928985507246,380.873,383.484,0.0,15,23.432,26.084,0,59.538330510004016,
nr,15,35,525,386.9995652173913,381.471,743.773,0.0,15,23.442,26.146,0,67.52328513599787,
nr,15,40,600,387.45304347826084,381.918,1014.668,0.0,15,23.438,26.198,0,75.25204145799944,
nr,15,50,750,388.0982608695652,382.554,1395.075,0.0,15,23.438,26.272,0,93.65742617000069,
nr,30,5,150,146.23608695652172,144.147,4.236,0.0,30,4.686,4.924,0,153.52073293500143,
nr,30,8,240,234.02217391304347,230.679,3.362,0.0,30,7.498,7.881,0,197.07507635699585,
nr,30,10,300,292.5573913043478,288.378,3.117,0.0,30,9.375,9.851,0,313.66959328400117,
nr,30,12,360,351.08449275362324,346.069,3.17,0.0,30,11.25,11.822,0,261.4402762719983,
nr,30,15,450,371.7040579710145,366.394,422.59,0.0,30,10.727,13.934,0,214.60788343299646,
nr,30,20,600,373.73811594202897,368.399,1020.647,0.0,30,10.727,14.102,0,218.054285102,
wifi,1,200,200,199.752,196.898,0.197,0.119,1,199.752,199.752,0,9.957173861999763,
wifi,1,400,400,399.506,393.799,0.221,0.121,1,399.506,399.506,0,10.290021763001278,
wifi,1,600,600,599.226,590.666,0.256,0.121,1,599.226,599.226,0,10.6109655629989,
wifi,1,800,800,798.982,787.568,0.297,0.121,1,798.982,798.982,0,10.83843593599886,
wifi,1,1000,1000,998.723,984.455,0.351,0.121,1,998.723,998.723,0,11.406604303003405,
wifi,1,1200,1200,1198.516,1181.394,0.426,0.121,1,1198.516,1198.516,0,11.730936555999506,
wifi,1,1500,1500,1497.957,1476.558,0.613,0.122,1,1497.957,1497.957,0,12.13136635900446,
wifi,4,100,400,398.998,393.298,2.736,0.155,4,99.645,99.814,0,26.962823157999082,
wifi,4,150,600,598.429,589.88,3.194,0.138,4,149.455,149.785,0,24.94812429600279,
wifi,4,200,800,797.391,786.0,7.929,0.151,4,198.806,199.554,0,23.598140900001454,
wifi,4,250,1000,997.233,982.987,6.486,0.161,4,248.685,249.607,0,23.114753982001275,
wifi,4,300,1200,1195.046,1177.974,9.705,0.13,4,298.131,299.346,0,21.885212672998023,
wifi,4,400,1600,1523.045,1501.287,94.151,1.742,4,352.02,391.401,0,25.935007583000697,
wifi,8,50,400,397.262,391.587,12.023,0.344,8,49.144,49.872,0,47.27879670100083,
wifi,8,75,600,596.415,587.895,19.12,0.178,8,74.025,74.788,0,43.87135394800134,
wifi,8,100,800,792.491,781.17,29.685,0.157,8,97.089,99.706,0,40.376137070998084,
wifi,8,125,1000,990.323,976.175,40.827,0.208,8,120.958,124.723,0,42.77523239600123,
wifi,8,150,1200,1169.353,1152.648,99.311,0.727,8,140.635,149.462,0,42.397644796998065,
wifi,8,200,1600,1288.485,1270.078,404.497,9.886,8,142.8,186.025,0,55.85261526999966,
wifi,15,25,375,367.573,362.322,51.106,0.866,15,23.74,24.918,0,83.58926422200602,
wifi,15,40,600,573.378,565.187,78.241,2.17,15,35.202,39.807,0,76.68650550999882,
wifi,15,60,900,834.876,822.949,173.816,3.413,15,51.208,59.479,0,84.6191231529956,
wifi,15,80,1200,985.21,971.135,447.91,5.536,15,38.614,78.534,0,98.08559811699524,
wifi,15,100,1500,1020.705,1006.123,748.793,12.564,15,40.307,86.309,0,102.86229565300164,
wifi,15,120,1800,1037.837,1023.011,966.346,20.42,15,42.685,94.625,0,106.94254980400001,
wifi,30,10,300,270.0,266.143,119.438,7.375,30,8.182,9.821,0,167.94372336300148,
wifi,30,20,600,498.908,491.78,184.003,13.298,30,13.248,18.243,0,180.84236725299706,
wifi,30,30,900,636.205,627.116,472.115,16.624,30,14.536,26.561,0,193.39438852499734,
wifi,30,40,1200,688.565,678.728,868.65,18.569,30,14.502,36.34,0,200.74433071300155,
wifi,30,50,1500,664.828,655.331,1133.539,19.52,28,6.352,38.351,0,208.63975301299797,
wifi,30,60,1800,693.549,683.641,1215.695,26.209,30,12.38,37.384,0,216.44869352700334,
