link,clients,bytes_per_burst,offered_mbps,rx_mbps,sink_mbps,delay_mean_ms,delay_p50_ms,delay_p95_ms,delay_p99_ms,delay_max_ms,jitter_mean_ms,rx_packets,delay_rx_packets,active_flows,connected,total,connect_failures,warnings,json
nr-only,1,2097152,16.777216,16.777216,18.659057,49.351786,49.279961,49.512699,49.512699,49.512699,0.153206,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n001-b2097152/default-nr-only-stream1-10s.json
nr-only,1,4194304,33.554432,33.554432,37.318114,89.396689,89.396689,89.511825,89.511825,89.511825,0.230272,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n001-b4194304/default-nr-only-stream1-10s.json
nr-only,1,8388608,67.108864,67.108864,74.636227,175.64933,175.64933,175.763849,175.763849,175.763849,0.229039,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n001-b8388608/default-nr-only-stream1-10s.json
nr-only,1,16777216,134.217728,134.217728,140.868534,348.89344,349.256726,349.281386,349.281386,349.281386,0.306412,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n001-b16777216/default-nr-only-stream1-10s.json
nr-only,1,33554432,268.435456,268.435456,271.523802,692.220748,692.012209,692.950634,693.20088,693.263442,0.250247,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n001-b33554432/default-nr-only-stream1-10s.json
nr-only,4,2097152,67.108864,67.108864,71.493982,68.626333,68.757302,88.087814,88.248837,88.25224,0.528004,24,24,4,4,4,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n004-b2097152/default-nr-only-stream1-10s.json
nr-only,4,4194304,134.217728,134.217728,142.987964,141.72345,146.259678,184.503832,184.68399,184.737803,0.48787,24,24,4,4,4,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n004-b4194304/default-nr-only-stream1-10s.json
nr-only,4,8388608,268.435456,268.435456,272.802634,485.524674,486.382752,560.983161,560.983161,560.983161,0.751665,24,24,4,4,4,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n004-b8388608/default-nr-only-stream1-10s.json
nr-only,4,16777216,536.870912,335.54432,390.719813,1509.915564,1554.737636,1589.048733,1592.415638,1593.257364,72.635355,15,15,4,4,4,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n004-b16777216/default-nr-only-stream1-10s.json
nr-only,4,33554432,1073.741824,178.956971,390.72013,2653.055747,2700.870842,2704.515483,2704.693646,2704.738187,0.0,4,4,4,4,4,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n004-b33554432/default-nr-only-stream1-10s.json
nr-only,8,2097152,134.217728,134.217728,136.212923,69.565074,70.00224,90.157705,90.512847,90.515165,0.591965,48,48,8,8,8,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/capacity-probe-2026-05-04/n008-b2097152/default-nr-only-stream1-10s.json
