link,clients,bytes_per_burst,offered_mbps,rx_mbps,sink_mbps,delay_mean_ms,delay_p50_ms,delay_p95_ms,delay_p99_ms,delay_max_ms,jitter_mean_ms,rx_packets,delay_rx_packets,active_flows,connected,total,connect_failures,warnings,json
nr-only,1,64,0.000512,0.000512,0.000569,17.000346,17.000346,17.000346,17.000346,17.000346,0.0,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n001-b64/default-nr-only-stream1-10s.json
nr-only,1,1024,0.008192,0.008192,0.009111,3.25265,3.25265,3.25265,3.25265,3.25265,0.0,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n001-b1024/default-nr-only-stream1-10s.json
nr-only,1,16384,0.131072,0.131072,0.145774,8.254075,8.254075,8.254075,8.254075,8.254075,0.0,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n001-b16384/default-nr-only-stream1-10s.json
nr-only,1,65536,0.524288,0.524288,0.583096,13.508943,13.508943,13.508943,13.508943,13.508943,0.0,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n001-b65536/default-nr-only-stream1-10s.json
nr-only,1,262144,2.097152,2.097152,2.332382,23.639852,23.639852,24.268551,24.268551,24.268551,1.257398,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n001-b262144/default-nr-only-stream1-10s.json
nr-only,1,524288,4.194304,4.194304,4.664764,28.040789,28.040789,28.040789,28.040789,28.040789,0.0,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n001-b524288/default-nr-only-stream1-10s.json
nr-only,1,1048576,8.388608,8.388608,9.329528,31.258821,31.258821,31.761287,31.761287,31.761287,1.004932,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n001-b1048576/default-nr-only-stream1-10s.json
nr-only,1,2097152,16.777216,16.777216,18.659057,49.351786,49.279961,49.512699,49.512699,49.512699,0.153206,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n001-b2097152/default-nr-only-stream1-10s.json
nr-only,4,64,0.002048,0.002048,0.002182,17.174453,17.232489,17.232489,17.232489,17.232489,0.0,24,24,4,4,4,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n004-b64/default-nr-only-stream1-10s.json
nr-only,4,1024,0.032768,0.032768,0.034909,3.422293,3.475865,3.484793,3.484793,3.484793,0.0,24,24,4,4,4,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n004-b1024/default-nr-only-stream1-10s.json
nr-only,4,16384,0.524288,0.524288,0.558547,8.428182,8.486218,8.486218,8.486218,8.486218,0.0,24,24,4,4,4,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n004-b16384/default-nr-only-stream1-10s.json
nr-only,4,65536,2.097152,2.097152,2.234187,16.83703,14.749398,29.501096,29.501096,29.501096,4.0625,24,24,4,4,4,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n004-b65536/default-nr-only-stream1-10s.json
nr-only,4,262144,8.388608,8.388608,8.936748,24.351528,24.501927,24.737131,24.737131,24.737131,0.310342,24,24,4,4,4,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n004-b262144/default-nr-only-stream1-10s.json
nr-only,4,524288,16.777216,16.777216,17.873495,28.396578,28.772613,33.060094,34.394542,34.738408,2.171424,24,24,4,4,4,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n004-b524288/default-nr-only-stream1-10s.json
nr-only,4,1048576,33.554432,33.554432,35.746991,40.027021,40.630711,49.328062,50.655717,50.995896,1.405275,24,24,4,4,4,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n004-b1048576/default-nr-only-stream1-10s.json
nr-only,4,2097152,67.108864,67.108864,71.493982,68.626333,68.757302,88.087814,88.248837,88.25224,0.528004,24,24,4,4,4,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n004-b2097152/default-nr-only-stream1-10s.json
nr-only,8,64,0.004096,0.004096,0.004157,17.143203,17.107489,17.482489,17.482489,17.482489,0.0,48,48,8,8,8,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n008-b64/default-nr-only-stream1-10s.json
nr-only,8,1024,0.065536,0.065536,0.06651,3.366489,3.368721,3.484793,3.484793,3.484793,0.0,48,48,8,8,8,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n008-b1024/default-nr-only-stream1-10s.json
nr-only,8,16384,1.048576,1.048576,1.064163,8.370147,8.370147,8.486218,8.486218,8.486218,0.0,48,48,8,8,8,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n008-b16384/default-nr-only-stream1-10s.json
nr-only,8,65536,4.194304,4.194304,4.256654,14.118976,13.741086,14.994662,22.798312,29.501096,0.831242,48,48,8,8,8,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n008-b65536/default-nr-only-stream1-10s.json
nr-only,8,262144,16.777216,16.777216,17.026615,24.072482,24.273483,25.660875,25.751927,25.751927,0.856867,48,48,8,8,8,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n008-b262144/default-nr-only-stream1-10s.json
nr-only,8,524288,33.554432,33.554432,34.053231,27.979265,28.02476,32.825013,34.044927,34.735942,1.289312,48,48,8,8,8,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n008-b524288/default-nr-only-stream1-10s.json
nr-only,8,1048576,67.108864,67.108864,68.106461,37.813647,36.264072,48.397892,50.047624,50.747129,1.692557,48,48,8,8,8,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n008-b1048576/default-nr-only-stream1-10s.json
nr-only,8,2097152,134.217728,134.217728,136.212923,69.565074,70.00224,90.157705,90.512847,90.515165,0.591965,48,48,8,8,8,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n008-b2097152/default-nr-only-stream1-10s.json
nr-only,15,64,0.00768,0.00768,0.007847,17.165822,17.214632,17.232489,17.232489,17.232489,0.0,90,90,15,15,15,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n015-b64/default-nr-only-stream1-10s.json
nr-only,15,1024,0.12288,0.12288,0.12555,3.420507,3.484793,3.484793,3.484793,3.484793,0.0,90,90,15,15,15,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n015-b1024/default-nr-only-stream1-10s.json
nr-only,15,16384,1.96608,1.96608,2.008792,8.423452,8.486218,8.488684,8.492383,8.492383,0.000329,90,90,15,15,15,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n015-b16384/default-nr-only-stream1-10s.json
nr-only,15,65536,7.86432,7.86432,8.035169,14.536191,14.231541,15.988065,18.253028,28.483239,0.796806,90,90,15,15,15,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n015-b65536/default-nr-only-stream1-10s.json
nr-only,15,262144,31.45728,31.45728,32.140674,28.696213,25.506837,42.232471,43.604078,44.732471,1.498894,90,90,15,15,15,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n015-b262144/default-nr-only-stream1-10s.json
nr-only,15,524288,62.91456,62.91456,64.281349,38.940099,28.753501,64.724641,65.019354,67.232603,1.538285,90,90,15,15,15,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n015-b524288/default-nr-only-stream1-10s.json
nr-only,15,1048576,125.82912,125.82912,128.562698,67.85689,48.26809,126.982873,127.232873,127.232873,0.745218,90,90,15,15,15,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n015-b1048576/default-nr-only-stream1-10s.json
nr-only,15,2097152,251.65824,251.65824,256.851918,169.869543,170.762721,292.915675,293.623711,294.736211,0.89827,90,90,15,15,15,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n015-b2097152/default-nr-only-stream1-10s.json
nr-only,30,64,0.01536,0.01536,0.015503,17.180703,17.223561,17.464632,17.464632,17.464632,0.0,180,180,30,30,30,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n030-b64/default-nr-only-stream1-10s.json
nr-only,30,1024,0.24576,0.24576,0.249094,3.427055,3.466936,3.484793,3.734793,3.734793,0.0,180,180,30,30,30,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n030-b1024/default-nr-only-stream1-10s.json
nr-only,30,16384,3.93216,3.93216,3.985504,8.445558,8.468361,8.486218,9.486218,9.486218,0.0,180,180,30,30,30,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n030-b16384/default-nr-only-stream1-10s.json
nr-only,30,65536,15.72864,15.72864,15.931271,15.468546,14.986154,27.285025,29.715382,29.733239,2.290049,180,180,30,30,30,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n030-b65536/default-nr-only-stream1-10s.json
nr-only,30,262144,62.91456,62.91456,63.403872,26.959475,24.525332,40.965507,42.464614,43.000328,1.499992,180,180,30,30,30,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n030-b262144/default-nr-only-stream1-10s.json
nr-only,30,524288,125.82912,125.82912,126.746836,36.961938,29.719318,64.733017,66.386353,68.00046,1.670473,180,180,30,30,30,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n030-b524288/default-nr-only-stream1-10s.json
nr-only,30,1048576,251.65824,251.65824,252.053425,89.093576,108.482873,128.465016,130.987265,130.987265,2.684355,180,180,30,30,30,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n030-b1048576/default-nr-only-stream1-10s.json
nr-only,30,2097152,503.31648,377.48736,373.454732,1830.256546,1805.527495,2784.233688,2924.647924,2953.025029,343.62597,135,135,30,30,30,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n030-b2097152/default-nr-only-stream1-10s.json
