scenario,result,mptcp_scheduler,source_file,scope,priority,expected_flows,active_flows,delay_active_flows,rx_packets,delay_rx_packets,throughput_mbps,delay_ms_mean,delay_ms_p50,delay_ms_p95,delay_ms_p99,delay_ms_p999,delay_ms_max,peak_delay_ms_mean,peak_delay_ms_p50,peak_delay_ms_p95,peak_delay_ms_p99,peak_delay_ms_p999,peak_delay_ms_max,jitter_ms_mean,jitter_ms_p50,jitter_ms_p95,jitter_ms_p99,jitter_ms_p999,jitter_ms_max,nr_share_pct,wifi_share_pct
p3-sub-peak-0,nrlead,nrlead,myscripts/pamptcp/flow-priority-30/p3-sub-peak-0/nrlead-stream1-10s.json,overall,overall,30,30,30,180,180,5.346,4.578379,4.974417,6.004336,6.306156,6.489587,6.489808,0.0,0.0,0.0,0.0,0.0,0.0,0.686681,0.527126,1.280187,1.767262,1.767262,1.767262,99.850056,0.149944
p3-sub-peak-0,nrlead,nrlead,myscripts/pamptcp/flow-priority-30/p3-sub-peak-0/nrlead-stream1-10s.json,priority,1,6,6,6,36,36,0.216,3.36946,3.372437,3.470651,3.470651,3.470651,3.470651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p3-sub-peak-0,nrlead,nrlead,myscripts/pamptcp/flow-priority-30/p3-sub-peak-0/nrlead-stream1-10s.json,priority,2,11,11,11,66,66,1.386,4.396839,4.783946,5.18233,5.235902,5.235902,5.235902,0.0,0.0,0.0,0.0,0.0,0.0,1.171254,1.27763,1.346131,1.508214,1.516893,1.517857,100.0,0.0
p3-sub-peak-0,nrlead,nrlead,myscripts/pamptcp/flow-priority-30/p3-sub-peak-0/nrlead-stream1-10s.json,priority,3,13,13,13,78,78,3.744,5.289951,5.236109,6.245446,6.488859,6.489713,6.489808,0.0,0.0,0.0,0.0,0.0,0.0,0.593588,0.50676,1.276616,1.767262,1.767262,1.767262,99.785897,0.214103
p3-sub-peak-2,nrlead,nrlead,myscripts/pamptcp/flow-priority-30/p3-sub-peak-2/nrlead-stream1-10s.json,overall,overall,30,30,28,180,168,304.77,4.550394,4.783946,6.008775,6.333865,6.489602,6.489808,107.139113,106.31311,114.553468,115.803307,116.084521,116.115767,0.679796,0.518197,1.280187,1.510893,1.732595,1.767262,2.196885,97.803115
p3-sub-peak-2,nrlead,nrlead,myscripts/pamptcp/flow-priority-30/p3-sub-peak-2/nrlead-stream1-10s.json,priority,1,6,6,6,36,36,0.216,3.36946,3.372437,3.470651,3.470651,3.470651,3.470651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p3-sub-peak-2,nrlead,nrlead,myscripts/pamptcp/flow-priority-30/p3-sub-peak-2/nrlead-stream1-10s.json,priority,2,11,11,11,66,66,1.386,4.396839,4.783946,5.18233,5.235902,5.235902,5.235902,0.0,0.0,0.0,0.0,0.0,0.0,1.171254,1.27763,1.346131,1.508214,1.516893,1.517857,100.0,0.0
p3-sub-peak-2,nrlead,nrlead,myscripts/pamptcp/flow-priority-30/p3-sub-peak-2/nrlead-stream1-10s.json,priority,3,13,13,11,78,66,303.168,5.348094,5.236109,6.253201,6.489007,6.489728,6.489808,107.139113,106.31311,114.553468,115.803307,116.084521,116.115767,0.559136,0.488903,1.26233,1.504242,1.74096,1.767262,1.680742,98.319258
p3-sub-peak-4,nrlead,nrlead,myscripts/pamptcp/flow-priority-30/p3-sub-peak-4/nrlead-stream1-10s.json,overall,overall,30,30,26,180,156,604.194,4.464367,4.762493,5.765701,6.353788,6.489617,6.489808,199.078931,203.860053,221.818289,224.894866,225.671116,225.757366,0.699286,0.538521,1.280187,1.5,1.515553,1.517857,1.482173,98.517827
p3-sub-peak-4,nrlead,nrlead,myscripts/pamptcp/flow-priority-30/p3-sub-peak-4/nrlead-stream1-10s.json,priority,1,6,6,6,36,36,0.216,3.36946,3.372437,3.470651,3.470651,3.470651,3.470651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
