scenario,result,mptcp_scheduler,scope,priority,expected_flows,active_flows,delay_active_flows,rx_packets,delay_rx_packets,throughput_mbps,delay_ms_mean,delay_ms_p50,delay_ms_p95,delay_ms_p99,delay_ms_p999,delay_ms_max,peak_delay_ms_mean,peak_delay_ms_p50,peak_delay_ms_p95,peak_delay_ms_p99,peak_delay_ms_p999,peak_delay_ms_max,jitter_ms_mean,jitter_ms_p50,jitter_ms_p95,jitter_ms_p99,jitter_ms_p999,jitter_ms_max,nr_share_pct,wifi_share_pct
p3-sub-peak-0,default,default,overall,overall,30,30,30,180,180,5.346,0.663226,0.627774,0.696328,0.738953,3.026527,3.491041,0.0,0.0,0.0,0.0,0.0,0.0,0.023843,0.003,0.007238,0.141776,2.423574,2.800703,0.185559,99.814441
p3-sub-peak-0,default,default,priority,1,6,6,6,36,36,0.216,0.584025,0.583856,0.588012,0.588277,0.588325,0.58833,0.0,0.0,0.0,0.0,0.0,0.0,0.003613,0.003483,0.006935,0.008326,0.008658,0.008695,0.0,100.0
p3-sub-peak-0,default,default,priority,2,11,11,11,66,66,1.386,0.628791,0.625131,0.628687,0.722432,0.878636,0.895992,0.0,0.0,0.0,0.0,0.0,0.0,0.008633,0.003365,0.008225,0.128659,0.25554,0.269638,0.0,100.0
p3-sub-peak-0,default,default,priority,3,13,13,13,78,78,3.744,0.728918,0.693344,0.696422,1.33979,3.275916,3.491041,0.0,0.0,0.0,0.0,0.0,0.0,0.046049,0.003,0.006754,1.012741,2.621907,2.800703,0.264957,99.735043
p3-sub-peak-0,blest,blest,overall,overall,30,30,30,180,180,5.346,0.695949,0.627875,0.69637,2.417456,3.323468,3.491041,0.0,0.0,0.0,0.0,0.0,0.0,0.052071,0.003,0.008506,1.628716,2.660376,2.800703,0.185559,99.814441
p3-sub-peak-0,blest,blest,priority,1,6,6,6,36,36,0.216,0.58386,0.583856,0.587864,0.588277,0.588325,0.58833,0.0,0.0,0.0,0.0,0.0,0.0,0.003823,0.003499,0.006935,0.008326,0.008658,0.008695,0.0,100.0
p3-sub-peak-0,blest,blest,priority,2,11,11,11,66,66,1.386,0.643391,0.625131,0.628811,1.209238,1.342618,1.357438,0.0,0.0,0.0,0.0,0.0,0.0,0.021164,0.003486,0.008473,0.459158,0.703381,0.730517,0.0,100.0
p3-sub-peak-0,blest,blest,priority,3,13,13,13,78,78,3.744,0.792154,0.693343,0.905041,2.770198,3.418957,3.491041,0.0,0.0,0.0,0.0,0.0,0.0,0.10049,0.003,0.239935,2.197958,2.740429,2.800703,0.264957,99.735043
p3-sub-peak-0,ecf,ecf,overall,overall,30,30,30,180,180,5.346,0.663226,0.627774,0.696328,0.738953,3.026527,3.491041,0.0,0.0,0.0,0.0,0.0,0.0,0.023843,0.003,0.007238,0.141776,2.423574,2.800703,0.185559,99.814441
p3-sub-peak-0,ecf,ecf,priority,1,6,6,6,36,36,0.216,0.584025,0.583856,0.588012,0.588277,0.588325,0.58833,0.0,0.0,0.0,0.0,0.0,0.0,0.003613,0.003483,0.006935,0.008326,0.008658,0.008695,0.0,100.0
p3-sub-peak-0,ecf,ecf,priority,2,11,11,11,66,66,1.386,0.628791,0.625131,0.628687,0.722432,0.878636,0.895992,0.0,0.0,0.0,0.0,0.0,0.0,0.008633,0.003365,0.008225,0.128659,0.25554,0.269638,0.0,100.0
